Freq.	V(v1)	V(v2)
Step Information: X=100  (Run: 1/4)
3.98107170553498e+000	(-1.85711833924464e-005dB,-9.49526335788864e-002°)	(-8.44873532774537e-005dB,-3.81859767705758e-001°)
5.01187233627273e+000	(-2.20215895848119e-005dB,-1.19538267711352e-001°)	(-1.19666261218014e-004dB,-4.80732511972860e-001°)
6.30957344480194e+000	(-2.74901121260262e-005dB,-1.50489731741910e-001°)	(-1.75420834525216e-004dB,-6.05205471083470e-001°)
7.94328234724283e+000	(-3.61571293773411e-005dB,-1.89455285328141e-001°)	(-2.63785279342141e-004dB,-7.61906742175068e-001°)
1.00000000000000e+001	(-4.98934086982891e-005dB,-2.38509949041391e-001°)	(-4.03831982126068e-004dB,-9.59180158283317e-001°)
1.25892541179417e+001	(-7.16639007811514e-005dB,-3.00265988288425e-001°)	(-6.25787269639343e-004dB,-1.20752909125034e+000°)
1.58489319246112e+001	(-1.06167696208566e-004dB,-3.78011989077299e-001°)	(-9.77553203449532e-004dB,-1.52017472398233e+000°)
1.99526231496888e+001	(-1.60852252215527e-004dB,-4.75887913604956e-001°)	(-1.53504080031173e-003dB,-1.91375799090717e+000°)
2.51188643150959e+001	(-2.47520743309290e-004dB,-5.99105421475345e-001°)	(-2.41853922892730e-003dB,-2.40922150822102e+000°)
3.16227766016839e+001	(-3.84879313032973e-004dB,-7.54225116556880e-001°)	(-3.81863951986789e-003dB,-3.03291634808117e+000°)
3.98107170553498e+001	(-6.02573625166351e-004dB,-9.49505338452449e-001°)	(-6.03727138206988e-003dB,-3.81798838830961e+000°)
5.01187233627273e+001	(-9.47584932451766e-004dB,-1.19534078288799e+000°)	(-9.55261799168749e-003dB,-4.80610968665644e+000°)
6.30957344480195e+001	(-1.49436356187066e-003dB,-1.50481373051226e+000°)	(-1.51216876377324e-002dB,-6.04963041774500e+000°)
7.94328234724284e+001	(-2.36088036475034e-003dB,-1.89438608515997e+000°)	(-2.39420989847131e-002dB,-7.61423289477596e+000°)
1.00000000000000e+002	(-3.73404385010372e-003dB,-2.38476677488406e+000°)	(-3.79065435430274e-002dB,-9.58216355855360e+000°)
1.25892541179417e+002	(-5.90992664729037e-003dB,-3.00199612492583e+000°)	(-6.00012191289290e-002dB,-1.20560861528570e+001°)
1.58489319246112e+002	(-9.35737719885326e-003dB,-3.77879582552330e+000°)	(-9.49252306769915e-002dB,-1.51635094115609e+001°)
1.99526231496889e+002	(-1.48184790932833e-002dB,-4.75623824559514e+000°)	(-1.50042495837974e-001dB,-1.90615389598409e+001°)
2.51188643150959e+002	(-2.34668707976133e-002dB,-5.98578800065529e+000°)	(-2.36817747156836e-001dB,-2.39412870135610e+001°)
3.16227766016839e+002	(-3.71564216106705e-002dB,-7.53175333332346e+000°)	(-3.72918087605710e-001dB,-3.00304915858788e+001°)
3.98107170553498e+002	(-5.88097624891316e-002dB,-9.47413788537148e+000°)	(-5.85136415540203e-001dB,-3.75915681938076e+001°)
5.01187233627274e+002	(-9.30201823342797e-002dB,-1.19117717759668e+001°)	(-9.13112587602635e-001dB,-4.69103999243943e+001°)
6.30957344480195e+002	(-1.46971356409241e-001dB,-1.49653636988399e+001°)	(-1.41332098620979e+000dB,-5.82692769942477e+001°)
7.94328234724284e+002	(-2.31811660014832e-001dB,-1.87796489827838e+001°)	(-2.16179926844746e+000dB,-7.18977976900024e+001°)
1.00000000000000e+003	(-3.64632862410624e-001dB,-2.35229575812440e+001°)	(-3.25283028899418e+000dB,-8.79028784784131e+001°)
1.25892541179417e+003	(-5.71142529026225e-001dB,-2.93811301454566e+001°)	(-4.79052462027261e+000dB,-1.06197170380021e+002°)
1.58489319246112e+003	(-8.88870244098946e-001dB,-3.65408205866359e+001°)	(-6.87321087517306e+000dB,-1.26466014197209e+002°)
1.99526231496889e+003	(-1.37012595305680e+000dB,-4.51557184634193e+001°)	(-9.57683533320191e+000dB,-1.48207850218283e+002°)
2.51188643150959e+003	(-2.08280180199508e+000dB,-5.52909266013899e+001°)	(-1.29470501703111e+001dB,-1.70831270998108e+002°)
3.16227766016839e+003	(-3.10584754834221e+000dB,-6.68508741410861e+001°)	(-1.70029636626717e+001dB,1.66262602073099e+002°)
3.98107170553499e+003	(-4.51644972540590e+000dB,-7.95179389142381e+001°)	(-2.17437533676895e+001dB,1.43662937228054e+002°)
5.01187233627274e+003	(-6.37002271859505e+000dB,-9.27503938172684e+001°)	(-2.71476598694729e+001dB,1.21961975995784e+002°)
6.30957344480195e+003	(-8.68149527076030e+000dB,-1.05875971831714e+002°)	(-3.31646440609301e+001dB,1.01719281211077e+002°)
7.94328234724284e+003	(-1.14196660064091e+001dB,-1.18254579143138e+002°)	(-3.97142180669471e+001dB,8.33549495089984e+001°)
1.00000000000000e+004	(-1.45187056031656e+001dB,-1.29423960764009e+002°)	(-4.66954812914184e+001dB,6.70280091645676e+001°)
1.25892541179417e+004	(-1.78987334450315e+001dB,-1.39157798383921e+002°)	(-5.40036469258927e+001dB,5.25535907097293e+001°)
1.58489319246112e+004	(-2.14837873973182e+001dB,-1.47436742086150e+002°)	(-6.15406998650035e+001dB,3.93374461682376e+001°)
1.99526231496889e+004	(-2.52114305931098e+001dB,-1.54379463136385e+002°)	(-6.92060241716032e+001dB,2.62454586350978e+001°)
2.51188643150959e+004	(-2.90349065281798e+001dB,-1.60176790722231e+002°)	(-7.68361875954438e+001dB,1.13692181172750e+001°)
3.16227766016839e+004	(-3.29211997093600e+001dB,-1.65047834275870e+002°)	(-8.40220844062449e+001dB,-7.83325125741490e+000°)
3.98107170553499e+004	(-3.68477281051129e+001dB,-1.69219920676075e+002°)	(-8.99074971312526e+001dB,-3.18434237613351e+001°)
5.01187233627274e+004	(-4.07990100301752e+001dB,-1.72929195653033e+002°)	(-9.38898217592511e+001dB,-5.49835885800161e+001°)
6.30957344480196e+004	(-4.47635166986201e+001dB,-1.76441466315070e+002°)	(-9.65674624952957e+001dB,-7.18057692528202e+001°)
7.94328234724285e+004	(-4.87298933340273e+001dB,1.79900149606805e+002°)	(-9.87389702099099e+001dB,-8.30828718378407e+001°)
1.00000000000000e+005	(-5.26797885835630e+001dB,1.75584232810242e+002°)	(-1.00738649579636e+002dB,-9.16384685004906e+001°)
Step Information: X=10K  (Run: 3/4)
1.00000000000000e-002	(-1.26720102128586e-005dB,-2.38510285200343e-004°)	(-2.46575570327247e-005dB,-7.43925901791615e-003°)
1.25892541179417e-002	(-1.26720319796900e-005dB,-3.00266659012744e-004°)	(-2.46776319941296e-005dB,-9.36547221560011e-003°)
